
---------- Begin Simulation Statistics ----------
simSeconds                                   0.332923                       # Number of seconds simulated (Second)
simTicks                                 332923313000                       # Number of ticks simulated (Tick)
finalTick                                332923313000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2006.16                       # Real time elapsed on the host (Second)
hostTickRate                                165950694                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681160                       # Number of bytes of host memory used (Byte)
simInsts                                    427266821                       # Number of instructions simulated (Count)
simOps                                      525341545                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   212978                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     261864                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        665846627                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       526888881                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      412                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      526210474                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  31466                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1547747                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1987911                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 138                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           665683602                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.790481                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.926416                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 535354444     80.42%     80.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  29166316      4.38%     84.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15326158      2.30%     87.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14064951      2.11%     89.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15442737      2.32%     91.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  19896852      2.99%     94.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10438867      1.57%     96.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7637637      1.15%     97.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  18355640      2.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             665683602                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   30013      1.01%      1.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%      1.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1165      0.04%      1.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.05% # attempts to use FU when none available (Count)
