
---------- Begin Simulation Statistics ----------
simSeconds                                   0.347415                       # Number of seconds simulated (Second)
simTicks                                 347415270000                       # Number of ticks simulated (Tick)
finalTick                                348405510000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1292.75                       # Real time elapsed on the host (Second)
hostTickRate                                268741109                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                    136795420                       # Number of instructions simulated (Count)
simOps                                      165743239                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   105817                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     128210                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        694830540                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       164668511                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      289632139                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 159394                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               851611                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2249008                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           694824480                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.416842                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.214828                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 606997893     87.36%     87.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12156646      1.75%     89.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  19012910      2.74%     91.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  11374383      1.64%     93.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  26804559      3.86%     97.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  13556544      1.95%     99.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4258458      0.61%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    529876      0.08%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    133211      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             694824480                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
