
---------- Begin Simulation Statistics ----------
simSeconds                                   0.128594                       # Number of seconds simulated (Second)
simTicks                                 128593556000                       # Number of ticks simulated (Tick)
finalTick                                128593556000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1329.42                       # Real time elapsed on the host (Second)
hostTickRate                                 96729286                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681160                       # Number of bytes of host memory used (Byte)
simInsts                                    412784579                       # Number of instructions simulated (Count)
simOps                                      432297798                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   310500                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     325178                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        257187113                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       433648212                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      406                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      433208817                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9766                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1350819                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1187468                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 133                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           257031169                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.685433                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.510429                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 156239329     60.79%     60.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14767152      5.75%     66.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9212520      3.58%     70.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14659837      5.70%     75.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  16661323      6.48%     82.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  13311502      5.18%     87.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  13316457      5.18%     92.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7968822      3.10%     95.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  10894227      4.24%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             257031169                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   28629      1.10%      1.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1165      0.04%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      1.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                2289440     88.23%     89.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     17      0.00%     89.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     89.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     89.38% # attempts to use FU when none available (Count)
